漢字,羅馬字
七星,chhit-chheⁿ/chhit-chhiⁿ
二指,jī-cháiⁿ/lī-cháiⁿ
刁持,tiau-tî
刁故意,tiau-kò͘-ì
刀柄,to-pèⁿ/to-pìⁿ
八珍,pat-tin
人面,lâng-bīn
人倫,jîn-lûn/lîn-lûn
人員,jîn-oân/lîn-oân
入厝,ji̍p-chhù/li̍p-chhù
七娘媽,Chhit-niû-má
七娘媽生,Chhit-niû-má-seⁿ/Chhit-niû-má-siⁿ
人家,jîn-ke/lîn-ke
人家厝仔,jîn-ke-chhù-á/lîn-ke-chhù-á
八家將,pat-ka-chiòng
人格,jîn-keh/lîn-keh
人氣,jîn-khì/lîn-khì
刀砧,to-tiam
人馬,jîn-má/lîn-má
入院,ji̍p-īⁿ/li̍p-īⁿ
人參,jîn-sim/lîn-sim
人情,jîn-chêng/lîn-chêng
人情世事,jîn-chêng-sè-sū/lîn-chêng-sè-sū
入教,ji̍p-kàu/li̍p-kàu
人望,jîn-bōng/lîn-bōng
人造,jîn-chō/lîn-chō
刀喙,to-chhùi
入場,ji̍p-tiûⁿ/li̍p-tiûⁿ
了然,liáu-jiân/liáu-liân
力量,le̍k-liōng
刁意故,thiau-ì-kò͘
七爺,Chhit-iâ
刀銎,to-kheng
又閣,iū-koh
人影,lâng-iáⁿ
九層塔,káu-chàn-thah
人範,lâng-pān
人緣,lâng-iân
入學,ji̍p-o̍h/li̍p-o̍h
入選,ji̍p-soán/li̍p-soán
了錢,liáu-chîⁿ
人頭,lâng-thâu
力頭,la̍t-thâu
入殮,ji̍p-liām/li̍p-liām
入聲,ji̍p-siaⁿ/li̍p-siaⁿ
刁難,thiau-lân
人權,jîn-khoân/lîn-khoân
丈,tn̄g
三,sam
三,saⁿ
上,chiūⁿ
上,chhiūⁿ
上,siōng
下,ē
下,hā
下,hē
低,kē
个,ê
丸,oân
久,kú
么,io
乞,khit
也,iā
亡,bông
凡,hoân
凡,hoān
千,chhian
千,chheng
叉,chhe
口,kháu
土,thó͘
士,sū
大,ta
大,tāi
大,tōa
女,lí/lú
女,lú
子,chí
子,chú
子,jí/lí
寸,chhùn
小,siáu
小,sió
山,san
山,soaⁿ
工,kang
工,kong
己,kí
巳,chī
巾,kin/kun
干,kan
弓,keng
才,châi
才,chiah
才,chhâi
下𦜆,ē-ham
丈人,tiūⁿ-lâng
三八,sam-pat
土人,thó͘-lâng
大人,tāi-jîn/tāi-lîn
大人,tōa-lâng
大力,tōa-la̍t
小人,siáu-jîn/siáu-lîn
川七,chhoan-chhit
工人,kang-lâng
丈人公,tiūⁿ-lâng-kong
三七仔,sam-chhit-á
丈人爸,tiūⁿ-lâng-pâ
三八氣,sam-pat-khùi
丈人媽,tiūⁿ-lâng-má
上久,siōng-kú
上山,chiūⁿ-soaⁿ
下山,hā-san
久久,kú-kú
大下,tōa-ē
小口,sió-kháu
小工,sió-kang
才子,châi-chú
大丈夫,tāi-tiōng-hu
干干仔,kan-kan-á
三山國王,Sam-san-kok-ông
千千萬萬,chhian-chhian-bān-bān
上山頭,chiūⁿ-soaⁿ-thâu
丈公,tiūⁿ-kong
上元,Siōng-goân
下元,Hā-goân
下勻,ē-ûn
大不了,tāi-put-liáu
三不五時,sam-put-gō͘-sî
土公仔,thó͘-kong-á
小丑仔,siáu-thiú-á
土公仔性,thó͘-kong-á-sèng
上元暝,Siōng-goân-mê/Siōng-goân-mî
上午,siōng-ngó͘
上天,siōng-thian
上手,chiūⁿ-chhiú
上水,chhiūⁿ-chúi
下午,hā-ngó͘
下手,hē-chhiú
下手,ē-chhiú
下水,hā-súi
土木,thó͘-bo̍k
大方,tāi-hong
大日,tōa-ji̍t/tōa-li̍t
大月,tōa-goe̍h/tōa-ge̍h
寸尺,chhùn-chhioh
小心,sió-sim
小月,sió-goe̍h/sió-ge̍h
小木,sió-ba̍k
工夫,kang-hu
三太子,Sam-thài-chú
上尺工,siāng-chhe-kong
三心兩意,sam-sim-lióng-ì
大心氣,tōa-sim-khùi
千斤秤,chhian-kin-chhìn/chhian-kun-chhìn
三文魚,sam-bûn-hî/sam-bûn-hû
下水湯,hā-súi-thng
大爿,tōa-pêng
丸仔,oân-á
大兄,tōa-hiaⁿ
工仔,kang-á
巾仔,kin-á/kun-á
弓仔,keng-á
大主大意,tōa-chú-tōa-ì
大代誌,tōa tāi-chì
上加,siōng-ke
上北,chiūⁿ-pak
下司,ē-si
土包仔,thó͘-pau-á
小可仔,sió-khóa-á
大四界,tōa-sì-kè/tōa-sì-kòe
上卌袂攝,chiūⁿ-siap-bē-liap/chiūⁿ-siap-bōe-liap
下半暝,ē-pòaⁿ-mê/ē-pòaⁿ-mî
上市,chiūⁿ-chhī
下本,hē-pún
大本,tōa-pún
小旦,sió-tòaⁿ
上目,chiūⁿ-ba̍k
口白,kháu-pe̍h
大目,tōa-ba̍k
小生,sió-seng
小玉仔,sió-gio̍k-á
小白菜,sió-pe̍h-chhài
大甲蓆,Tāi-kah-chhio̍h
上任,chiūⁿ-jīm/chiūⁿ-līm
久仰,kiú-gióng
干休,kan-hiu
大名,tōa-miâ
大囝,tōa-kiáⁿ
小名,sió-miâ
小囝,sió-kiáⁿ
大同仔,tāi-tông-á
上好,siōng hó
也好,iā hó
土地,thó͘-tē/thó͘-tōe
土地公,Thó͘-tī-kong
下早仔,e-chái-á
大耳,tōa-hīⁿ/tōa-hī
大舌,tōa-chi̍h
大伯,tōa-peh
大位,tōa-ūi
工作,kang-chok
山伯英台,San-phek-Eng-tâi
大妗,tōa-kīm
山尾溜,soaⁿ-bóe-liu/soaⁿ-bé-liu
子弟,chú-tē
小弟,sió-tī
子弟戲,chú-tē-hì
三更,saⁿ-keⁿ/saⁿ-kiⁿ
三更半暝,saⁿ-keⁿ-pòaⁿ-mê/saⁿ-kiⁿ-pòaⁿ-mî
口灶,kháu-chàu
小肚,sió-tō͘
大肚胿,tōa-tō͘-kui
三角,saⁿ-kak
久見,kiú-kiàn
山谷,soaⁿ-kok
川芎,chhoan-kiong
川貝,chhoan-pòe
干貝,kan-pòe
千里眼,Chhian-lí-gán
三角窗,saⁿ-kak-thang
三角褲,saⁿ-kak-khò͘
千里鏡,chhian-lí-kiàⁿ
久來,kú--lâi
口供,kháu-keng
大使,tāi-sài
小事,sió-sū
小使,siáu-sú
工事,kang-sū
女兒,lú-jî/lú-lî
小叔,sió-chek
小管仔,sió-kńg-á
小兒科,sió-jî-kho/sió-lî-kho
小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì
山坪,soaⁿ-phiâⁿ
丈姆,tiūⁿ-ḿ
大姆,tōa-ḿ
大姊,tōa-chí
大姑,tōa-ko͘
小妹,sió-mōe/sió-bē
小姐,sió-chiá
小姑,sió-ko͘
丈姆婆,tiūⁿ-ḿ-pô
下底,ē-té/ē-tóe
大官,ta-koaⁿ
大官虎,tōa-koaⁿ-hó͘
土性,thó͘-sèng
下性命,hē-sèⁿ-miā/hē-sìⁿ-miā
大房,tōa-pâng
大拖,tōa-thoa
下昏,e-hng
山東白仔,soaⁿ-tang-pe̍h-á
下昏暗,e-hng-àm
乞的,khit--ê
土直,thó͘-ti̍t
三肢手,saⁿ-ki-chhiú
久長,kú-tn̂g
千金,chhian-kim
三長兩短,saⁿ-tn̂g-nn̄g-té
上青苔,chhiūⁿ-chheⁿ-thî/chhiūⁿ-chhiⁿ-thî
久長病,kú-tn̂g-pēⁿ/kú-tn̂g-pīⁿ
千金譜,Chhian-kim-phó͘
大便,tāi-piān
大前年,tōa-chûn--nî
大姨,tōa-î
上帝,Siōng-tè
上帝公,Siōng-tè-kong
三思,sàm-su
大後日,tōa-āu--ji̍t/tōa-āu--li̍t
大後年,tōa-āu--nî
山後鳥,soaⁿ-āu-chiáu
也是,iā sī
才是,chiah-sī
大昨日,tōa-cho̍h--ji̍t/tōa-cho̍h--li̍t
大某,tōa-bó͘
山洞,soaⁿ-tōng
三牲,sam-seng
三界公,Sam-kài-kong
三界娘仔,sam-kài-niû-á
山珍海味,san-tin-hái-bī
山苳蒿,soaⁿ-tang-o
低音,kē-im
乞食,khit-chia̍h
口面,kháu-bīn
口音,kháu-im
乞食命,khit-chia̍h-miā
大面神,tōa-bīn-sîn
乞食琴,khit-chia̍h-khîm
乞食頭,khit-chia̍h-thâu
土匪,thó͘-húi
大厝,tōa-chhù
大哥,tōa-ko
低厝仔,kē-chhù-á
大娘姑,tōa-niû-ko͘
口座,kháu-chō
土師,thó͘-sai
大孫,tōa-sun
大家,ta-ke
子宮,chú-kiong
山崁,soaⁿ-khàm
大家口,tōa-ke-kháu
大家官,ta-ke-koaⁿ
子時,chú-sî
上桌,chiūⁿ-toh
口氣,kháu-khì
大氣,tāi-khì
大氣,tōa-khùi
大氣喘,tōa-khùi-chhoán
干涉,kan-sia̍p
低級,kē-kip
大陣,tōa tīn
小鬼仔殼,siáu-kúi-á-khak
三除四扣,saⁿ-tû-sì-khàu
上崎,chiūⁿ-kiā
山崙,soaⁿ-lūn
才情,châi-chêng
三教,sam-kàu
下晝,ē-tàu
下晡,ē-po͘
小票,sió-phiò
三絃,sam-hiân
大細,tōa-sè/tōa-sòe
大細心,tōa-sè-sim/tōa-sòe-sim
大細目,tōa-sè-ba̍k/tōa-sòe-ba̍k
山頂,soaⁿ-téng
工場,kang-tiûⁿ
大富,tōa-pù
大寒,tōa-kôaⁿ
大富大貴,tōa-hù-tōa-kùi
大摒掃,tōa-piàⁿ-sàu
上殕,chhiūⁿ-phú
下港,ē-káng
大港,tōa-káng
大湧,tōa-éng
干焦,kan-na
下痟,hā-siau
口琴,kháu-khîm
工程,kang-têng
工程師,kang-têng-su
上等,siōng-téng
大筒,tōa-tâng
小等,sió-tán
土菝仔,thó͘-poa̍t-á
上訴,siōng-sò͘
大量,tāi-liōng
弓開,keng--khui
凡勢,hoān-sè
山勢,soaⁿ-sè
土想,thó͘-siūⁿ
下暗,e-àm
工會,kang-hōe
工業,kang-gia̍p
才會,chiah ē
山溝,soaⁿ-kau
山盟海誓,san-bêng-hái-sè
下落,hē-lo̍h
千萬,chhian-bān
大腸,tōa-tn̂g
大舅,tōa-kū
小腸,sió-tn̂g
山腰,soaⁿ-io
大腹肚,tōa-pak-tó͘
口試,kháu-chhì
下跤,ē-kha
土話,thó͘-ōe
大話,tōa-ōe
山貉,soaⁿ-hô
山賊,soaⁿ-chha̍t
山跤,soaⁿ-kha
下跤手人,ē-kha-chhiú-lâng
大跤胴,tōa-kha-tâng
三跤馬,saⁿ-kha-bé
三跤貓,saⁿ-kha-niau
低路,kē-lō͘
大路,tōa-lō͘
小路,sió-lō͘
大道公,Tāi-tō-kong
三頓,saⁿ tǹg
山雺,soaⁿ-bông
大鼓,tōa-kó͘
大壽,tōa-siū
大漢,tōa-hàn
大箍,tōa-kho͘
大箍呆,tōa-kho͘-tai
上緊,siōng kín
大腿,tōa-thúi
大腿骨,tōa-thúi-kut
上蓋,siōng-kài
小說,sió-soat
大銀,tōa-gîn/tōa-gûn
小銀,sió-gîn/sió-gûn
亡魂,bông-hûn
大餅,tōa-piáⁿ
三層,sam-chân
工寮,kang-liâu
工廠,kang-chhiúⁿ
三層肉,sam-chân-bah
大廣絃,tōa-kóng-hiân
小數,sió-sò͘
干樂,kan-lo̍k
大熱,tōa-joa̍h/tōa-loa̍h
大範,tōa-pān
山線,soaⁿ-sòaⁿ
三線路,sam-sòaⁿ-lō͘
上課,siōng-khò
工課,khang-khòe
才調,châi-tiāu
大賣,tōa-bē/tōa-bōe
小賣,sió-bē/sió-bōe
山豬,soaⁿ-ti/soaⁿ-tu
下輩,ē-pòe
三輪車,saⁿ-lián-chhia
下頦,ē-hâi
大學,tāi-ha̍k
小學,sió-ha̍k
弓蕉,keng-chio
弓蕉油,keng-chio-iû
山貓,soaⁿ-niau
口頭,kháu-thâu
山頭,soaⁿ-thâu
工頭,kang-thâu
上頭仔,siōng-thâu-á
大頭拇,tōa-thâu-bú
大頷胿,tōa-ām-kui
大頭菜,tōa-thâu-chhài
大戲,tōa-hì
山嶺,soaⁿ-niá
土檨仔,thó͘-soāiⁿ-á
上濟,siōng chē/siōng chōe
上聲,sióng-siaⁿ
大聲,tōa-siaⁿ
大膽,tōa-táⁿ
大聲話,tōa-siaⁿ-ōe
下擺,ē-pái
小嬸,sió-chím
土雞仔,thó͘-ke-á/thó͘-koe-á
下顎,ē-kok
工藝,kang-gē
下願,hē-goān
大龐,tōa-phiāng
大麵,tōa-mī
大欉,tōa-châng
大廳,tōa-thiaⁿ
不,put
丑,thiú
中,tèng
中,tiong
中,tiòng
丹,tan
之,chi
予,hō͘
五,gō͘
五,ngó͘
井,chéⁿ/chíⁿ
仁,jîn/lîn
仄,cheh
仆,phak
仇,siû
今,taⁿ
允,ín/ún
內,lāi
內,lōe
公,kang
公,kong
六,la̍k
六,lio̍k
冇,phàⁿ
冗,lēng
冗,liōng
凶,hiong
分,hun
分,pun
切,chhiat
勻,ûn
勼,kiu
勾,kau
內䘥仔,lāi-kah-á
中人,tiong-lâng
允人,ín--lâng/ún--lâng
不才,put-châi
內山,lāi-soaⁿ
內才,lāi-châi
分寸,hun-chhùn
不三不四,put-sam-put-sù
不仁,put-jîn/put-lîn
中元,Tiong-goân
五仁,ngó͘-jîn/ngó͘-lîn
仁丹,jîn-tan/lîn-tan
內公,lāi-kong
公元,kong-goân
公分,kong-pun
公分,kong-hun
勻勻仔,ûn-ûn-á
勻勻仔火,ûn-ûn-á-hóe/ûn-ûn-á-hé
五分仔車,gō͘-hun-á-chhia
不中用,put-tiòng-iōng
五分車,gō͘-hun-chhia
不止,put-chí
中心,tiong-sim
井水,chéⁿ-chúi/chíⁿ-chúi
內心,lōe-sim
公文,kong-bûn
公斤,kong-kin/kong-kun
冇手,phàⁿ-chhiú
切手,chhiat-chhiú
勼手,kiu-chhiú
勼水,kiu-chúi
勾引,kau-ín
六月天,la̍k-goe̍h-thiⁿ/la̍k-ge̍h-thiⁿ
不止仔,put-chí-á
六月冬,la̍k-goe̍h-tang/la̍k-ge̍h-tang
五日節,Gō͘-ji̍t-cheh/Gō͘-li̍t-choeh
五月節,Gō͘-goe̍h-cheh/Gō͘-ge̍h-choeh
丑仔,thiú-á
今仔,taⁿ-á
今仔日,kin-á-ji̍t/kin-á-li̍t
勻仔是,ûn-á-sī
中古,tiong-kó͘
內外,lāi-gōa
五加皮,ngó͘-ka-pî
內奶,lāi-leng/lāi-ni
公平,kong-pêⁿ/kong-pîⁿ
公母,kang-bó
公民,kong-bîn
中用,tiòng-iōng
中立,tiong-li̍p
丹田,tan-tiân
公用,kong-iōng
冇石仔,phàⁿ-chio̍h-á
予伊,hō͘ i
介在,kài-chāi
公共,kong-kiōng
六合,lio̍k-ha̍p
今年,kin-nî
內地,lāi-tē/lāi-tōe
凶年,hiong-nî
中旬,tiong-sûn
冗早,liōng-chá
不死鬼,put-sú-kúi
內行,lāi-hâng
內行的,lāi-hâng--ê
不而過,put-jî-kò/put-lî-kò
不但,put-tān
分伻,pun-pheⁿ
分別,hun-pia̍t
不孝,put-hàu
不求人,put-kiû-jîn/put-kiû-lîn
公里,kong-lí
分身,hun-sin
公事,kong-sū
中和,tiong-hô
內底,lāi-té/lāi-tóe
公所,kong-só͘
不服,put-ho̍k
分明,hun-bêng
不法,put-hoat
六法全書,Lio̍k-hoat-choân-su
公的,kang--ê
分的,pun--ê
五金,ngó͘-kim
五金行,ngó͘-kim-hâng
中指,tiong-cháiⁿ
內政,lōe-chèng
五柳居,ngó͘-liú-ki/ngó͘-liú-ku
中毒,tiòng-to̍k
丹毒,tan-to̍k
冇炭,phàⁿ-thòaⁿ
分派,hun-phài
中秋,Tiong-chhiu
內科,lāi-kho
中秋節,Tiong-chhiu-cheh/Tiong-chhiu-choeh
中秋餅,Tiong-chhiu-piáⁿ
中計,tiòng-kè
內衫,lāi-saⁿ
中風,tiòng-hong
五香,ngó͘-hiang
元首,goân-siú
內面,lāi-bīn
允准,ín-chún/ún-chún
內套,lāi-thò
元宵,Goân-siau
內孫,lāi-sun
內容,lōe-iông
公家,kong-ka
公家,kong-ke
不時,put-sî
六書,lio̍k-su
元氣,goân-khì
六畜,lio̍k-thiok
元神,goân-sîn
中脊,tiong-chit
分配,hun-phòe/hun-phè
不動產,put-tōng-sán
公婆,kong-pô
五彩,ngó͘-chhái
分張,pun-tiuⁿ
不得了,put-tek-liáu
不得已,put-tek-í
內情,lōe-chêng
中晝,tiong-tàu
中晝時,tiong-tàu-sî
中晝飯,tiong-tàu-pn̄g
中晝頓,tiong-tàu-tǹg
公眾,kong-chiòng
介紹,kài-siāu
中途,tiong-tô͘
內部,lōe-pō͘
冗剩,liōng-siōng
內場,lāi-tiûⁿ
公寓,kong-gū
分散,hun-sòaⁿ
不敢當,put-kám-tong
分發,hun-hoat
中等,tiong-téng
勾結,kau-kiat
不答不七,put-tap-put-chhit
五筋膎,gō͘-kin-kê/gō͘-kun-kôe
公費,kong-hùi
中間,tiong-kan
公開,kong-khai
公開,kong-khui
分開,hun-khui
中傷,tiòng-siong
內傷,lāi-siong
公債,kong-chè
公園,kong-hn̂g
內媽,lāi-má
公媽,kong-má
中意,tèng-ì
仁愛,jîn-ài/lîn-ài
仁慈,jîn-chû/lîn-chû
凶煞,hiong-soah
不義,put-gī
仁義,jîn-gī/lîn-gī
內裡,lāi-lí
勼跤,kiu-kha
五路,ngó͘-lō͘
公路,kong-lō͘
公道,kong-tō
不滿,put-boán
五福,ngó͘-hok
不管時,put-koán-sî
內閣,lōe-koh
冇數,phàⁿ-siàu
分數,hun-sò͘
五穀,ngó͘-kok
中學,tiong-ha̍k
公學校,kong-ha̍k-hāu
公親,kong-chhin
分錢,pun-chîⁿ
公館,kong-koán
冇蟳,phàⁿ-chîm
中醫,tiong-i
分類,hun-lūi
分鐘,hun-cheng
分攤,hun-thoaⁿ
五臟,ngó͘-chōng
化,hoa
化,hòa
匹,phit
升,chin
升,seng
午,gō͘
午,ngó͘
厄,eh
友,iú
反,hoán
反,péng
壬,jîm/lîm
天,thian
天,thiⁿ
太,thài
夫,hu
少,chió
尺,chhe
尺,chhioh
廿,jia̍p/lia̍p
引,ín
心,sim
戶,hō͘
手,chhiú
支,ki
文,bûn
斗,táu
斤,kin/kun
方,hng
方,hong
日,ji̍t/li̍t
月,goa̍t
月,goe̍h/ge̍h
木,ba̍k
木,bo̍k
欠,khiàm
止,chí
歹,pháiⁿ
毋,m̄
比,pí
毛,mn̂g
毛,mô͘
氏,sī
水,chúi
水,súi
歹𤆬頭,pháiⁿ-chhōa-thâu
手䘼,chhiú-ńg
廿一,jia̍p-it/lia̍p-it
夫人,hu-jîn/hu-lîn
歹人,pháiⁿ-lâng
天九牌,thian-kiú-pâi
天下,thian-hā
天才,thian-châi
少女,siàu-lí/siàu-lú
戶口,hō͘-kháu
手下,chhiú-hā
手工,chhiú-kang
日子,ji̍t-chí/li̍t-chí
木工,ba̍k-kang
毋才,m̄-chiah
水土,chúi-thó͘
孔子公,Khóng-chú-kong
手巾仔,chhiú-kin-á/chhiú-kun-á
戶口名,hō͘-kháu-miâ
月下老人,goa̍t-hā-nó͘-jîn/goa̍t-hā-nó͘-lîn
戶口抄本,hō͘-kháu-chhau-pún
天井,thiⁿ-chéⁿ/thiⁿ-chíⁿ
天公,Thiⁿ-kong
月中,goe̍h-tiong/ge̍h-tiong
月內,goe̍h-lāi/ge̍h-lāi
水井,chúi-chéⁿ/chúi-chíⁿ
天公生,Thiⁿ-kong-seⁿ/Thiⁿ-kong-siⁿ
月內房,goe̍h-lāi-pâng/ge̍h-lāi-pâng
天公金,Thiⁿ-kong-kim
月內風,goe̍h-lāi-hong/ge̍h-lāi-hong
天公祖,Thiⁿ-kong-chó͘
反天,hoán-thiⁿ
天文,thian-bûn
太太,thài-thài
文化,bûn-hòa
月日,goe̍h-ji̍t/ge̍h-li̍t
歹天,pháiⁿ-thiⁿ
歹心,pháiⁿ-sim
歹手爪,pháiⁿ-chhiú-jiáu/pháiⁿ-chhiú-niáu
文文仔笑,bûn-bûn-á-chhiò
天反地亂,thiⁿ-hoán-tē-loān/thiⁿ-hoán-tōe-loān
木心枋,bo̍k-sim-pang
日月蚶,ji̍t-goa̍t-ham/li̍t-goa̍t-ham
日月蟶,ji̍t-goa̍t-than/li̍t-goa̍t-than
反爿,péng-pêng
心火,sim-hóe/sim-hé
手爪,chhiú-jiáu/chhiú-niáu
水牛,chúi-gû
斗仔,táu-á
歹代,pháiⁿ-tāi
水仙,chúi-sian
支出,chi-chhut
月半,goe̍h-pòaⁿ/ge̍h-pòaⁿ
月外日,goe̍h-gōa-ji̍t/ge̍h-gōa-li̍t
反正,hoán-chèng
太平,thài-pêng
文市,bûn-chhī
文旦,bûn-tàn
水母,chúi-bó
反目,hoán-bo̍k
手目,chhiú-ba̍k
木瓜,bo̍k-koe
欠用,khiàm-ēng
毋甘,m̄-kam
水田,chúi-chhân
太白星,Thài-pe̍k-chheⁿ/Thài-pe̍k-chhiⁿ
太白粉,thài-pe̍h-hún
太白酒,thài-pe̍h-chiú
毋甘嫌,m̄-kam hiâm
反白睚,péng-pe̍h-kâiⁿ
毋甘願,m̄ kam-goān
天光,thiⁿ-kng
文件,bûn-kiāⁿ
月光暝,goe̍h-kng-mê/ge̍h-kng-mî
日光燈,ji̍t-kong-teng/li̍t-kong-teng
手印,chhiú-ìn
方向,hong-hiòng
木匠,ba̍k-chhiūⁿ
歹囝,pháiⁿ-kiáⁿ
天地,thiⁿ-tē/thiⁿ-tōe
少年,siàu-liân
文字,bûn-jī/bûn-lī
方式,hong-sek
欠安,khiàm-an
毋好,m̄ hó
水圳,chúi-chùn
歹年冬,pháiⁿ-nî-tang
少年家,siàu-liân-ke
毋好勢,m̄ hó-sè
手曲,chhiú-khiau
歹死,pháiⁿ-sí
毋成,m̄-chiâⁿ
毋成人,m̄-chiâⁿ-lâng
手扞仔,chhiú-hōaⁿ-á
毋成囝,m̄-chiâⁿ-kiáⁿ
毋成物,m̄-chiâⁿ-mi̍h/m̄-chiâⁿ-mn̍gh
毋成猴,m̄-chiâⁿ-kâu
毋成樣,m̄-chiâⁿ-iūⁿ
天色,thiⁿ-sek
心血,sim-hiat
心行,sim-hēng
月色,goe̍h-sek/ge̍h-sek
木耳,bo̍k-ní
欠血,khiàm-hoeh/khiàm-huih
止血,chí-hoeh/chí-huih
毋但,m̄-nā
毋免,m̄-bián
夫君,hu-kun
手尾,chhiú-bóe/chhiú-bé
月尾,goe̍h-bóe/ge̍h-bé
手尾力,chhiú-bóe-la̍t/chhiú-bé-la̍t
毛尾仔,mn̂g-bóe-á/mn̂g-bé-á
手尾錢,chhiú-bóe-chîⁿ/chhiú-bé-chîⁿ
歹扭搦,pháiⁿ-liú-la̍k
反抗,hoán-khòng
夭折,iáu-chiat
木材,bo̍k-châi
反肚,péng-tō͘
心肝,sim-koaⁿ
手肚,chhiú-tó͘
水災,chúi-chai
心狂火著,sim-kông-hóe-to̍h/sim-kông-hé-to̍h
心肝仔囝,sim-koaⁿ-á-kiáⁿ
反肚痧,péng-tō͘-soa
心肝窟仔,sim-koaⁿ-khut-á
歹育飼,pháiⁿ-io-chhī
心肝頭,sim-koaⁿ-thâu
化身,hòa-sin
反車,péng-chhia
天良,thian-liông
文言,bûn-giân
文身,bûn-sin
方言,hong-giân
水車,chúi-chhia
水芋仔,chúi-ō͘-á
心事,sim-sū
比並,pí-phēng
反來反去,péng-lâi-péng-khì
月來香,goe̍h-lâi-hiong/ge̍h-lâi-hiong
月初,goe̍h-chhe/ge̍h-chhoe
歹命,pháiⁿ-miā
毛呼,mô͘-ho͘ⁿ
歹命人,pháiⁿ-miā-lâng
太妹,thài-mōe
夫妻,hu-chhe
手底,chhiú-té/chhiú-tóe
文官,bûn-koaⁿ
歹性地,pháiⁿ-sèng-tē/pháiⁿ-sèng-tōe
毋拄好,m̄-tú-hó
文明,bûn-bêng
水果,chúi-kó
孔明車,khóng-bêng-chhia
方法,hong-hoat
比武,pí-bú
歹物,pháiⁿ-mi̍h/pháiⁿ-mn̍gh
